match_id,fecha,ronda,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
15526051,2026-05-02,7,Fortaleza,Goiás,4,1,44%,56%,1.79,0.81,17,10,9,4,3,3,11,17,4,3,0,1,1,5,19,23,385,511,15,12
15526050,2026-05-03,7,Operário-PR,Londrina,3,0,56%,44%,1.50,0.47,14,10,5,3,5,4,11,16,2,5,,,3,2,19,13,465,361,4,11
15526048,2026-05-03,7,São Bernardo,Ponte Preta,3,0,49%,51%,1.85,0.58,11,11,6,0,2,6,11,10,2,3,,,0,3,14,14,464,463,12,14
15526072,2026-05-03,7,Sport Recife,Ceará,2,0,44%,56%,1.94,0.46,16,10,5,1,9,11,13,16,2,4,,,1,3,12,12,278,357,9,8
15526052,2026-05-03,7,Atlético Goianiense,Juventude,0,0,48%,52%,1.93,0.56,16,6,6,1,5,1,17,14,3,3,1,0,2,6,18,22,338,382,8,8
15526049,2026-05-03,7,América Mineiro,CRB,1,2,44%,56%,0.79,1.62,9,16,4,8,3,4,18,20,4,4,,,6,3,19,20,357,458,9,5
15526057,2026-05-03,7,Avaí,Grêmio Novorizontino,3,3,52%,48%,2.12,2.22,17,10,4,4,5,3,27,15,5,2,1,1,1,1,14,14,417,382,5,8
15526074,2026-05-04,7,Vila Nova FC,Athletic Club,1,1,68%,32%,1.57,1.04,23,2,5,2,9,1,13,14,2,3,0,1,1,4,12,25,522,254,6,9
15526081,2026-05-09,8,Goiás,Vila Nova FC,1,0,36%,64%,1.35,0.46,12,11,3,1,4,5,15,10,6,2,1,0,1,2,21,8,244,451,8,7
15526078,2026-05-09,8,Athletic Club,Cuiabá,0,0,57%,43%,0.78,0.37,8,7,1,1,6,6,11,18,3,2,,,1,2,13,20,448,332,9,12
15526075,2026-05-09,8,Ponte Preta,Sport Recife,1,3,48%,52%,2.15,1.52,16,10,5,4,11,2,17,11,5,4,0,1,1,3,13,13,271,323,11,8
15526080,2026-05-09,8,Ceará,Atlético Goianiense,0,1,75%,25%,2.09,1.54,32,5,9,1,11,1,14,15,2,2,0,1,0,9,12,15,487,166,4,9
15526084,2026-05-09,8,CRB,Operário-PR,3,0,42%,58%,1.34,0.38,15,8,5,2,6,1,15,14,2,4,,,2,2,15,9,359,503,7,5
15526085,2026-05-10,8,Juventude,Criciúma,0,0,55%,45%,1.97,1.18,15,14,5,2,7,9,14,18,2,4,,,2,5,10,15,372,292,13,10
15526083,2026-05-10,8,Náutico,América Mineiro,4,0,58%,42%,1.27,0.18,18,5,6,0,3,3,19,16,2,3,0,1,0,3,23,14,423,299,3,6
15526082,2026-05-10,8,Avaí,Fortaleza,0,0,55%,45%,1.55,0.58,20,9,6,2,5,4,19,17,3,3,0,2,2,6,12,28,491,403,8,2
15526076,2026-05-10,8,Grêmio Novorizontino,Botafogo-SP,1,0,46%,54%,1.05,0.23,9,6,3,1,5,1,17,15,4,2,,,1,2,20,18,340,419,8,7
16127067,2026-05-12,8,Londrina,São Bernardo,1,3,53%,47%,0.65,0.92,12,8,1,3,9,2,13,6,3,1,,,0,1,7,10,491,457,10,10
15526089,2026-05-16,9,Operário-PR,Náutico,2,6,46%,54%,2.94,2.31,17,18,7,8,7,5,8,18,4,1,1,0,2,5,22,18,324,390,13,10
15526087,2026-05-16,9,São Bernardo,América Mineiro,1,1,49%,51%,1.28,0.55,15,11,4,4,6,7,16,16,3,5,,,3,3,16,17,419,445,12,9
15526091,2026-05-16,9,Goiás,Botafogo-SP,1,0,55%,45%,0.75,0.29,17,7,6,2,4,5,19,11,4,3,,,2,5,10,22,505,406,9,9
15526094,2026-05-16,9,Cuiabá,Grêmio Novorizontino,0,0,59%,41%,1.29,0.92,22,10,8,3,8,4,14,13,3,2,,,3,8,10,7,371,261,4,2
15526088,2026-05-17,9,Athletic Club,Juventude,1,1,44%,56%,1.29,0.83,18,10,5,4,5,3,22,16,2,3,,,3,4,13,21,293,384,4,10
15526095,2026-05-17,9,Vila Nova FC,Avaí,2,0,45%,55%,1.23,0.66,14,7,6,3,2,1,21,16,4,3,,,3,4,12,21,344,431,4,12
15526090,2026-05-17,9,Ceará,Fortaleza,2,1,50%,50%,1.09,1.66,10,17,5,5,3,2,20,21,3,4,,,4,3,10,16,357,352,5,7
15526092,2026-05-17,9,Criciúma,Atlético Goianiense,1,1,67%,33%,1.01,1.30,13,18,1,4,7,9,14,16,3,4,,,3,1,13,10,438,220,6,17
15526093,2026-05-17,9,Sport Recife,CRB,1,2,56%,44%,0.90,1.53,13,12,3,6,3,2,14,13,2,4,,,5,2,14,10,392,313,8,11
15526086,2026-05-18,9,Ponte Preta,Londrina,1,4,55%,45%,1.23,2.46,16,19,5,9,11,4,16,8,6,1,0,1,5,4,10,15,369,333,9,8
15526104,2026-05-22,10,Náutico,Cuiabá,1,0,67%,33%,1.85,0.36,10,7,2,2,6,1,16,20,3,2,,,2,1,11,19,515,261,7,9
15526098,2026-05-23,10,Grêmio Novorizontino,Ceará,2,1,49%,51%,0.81,0.41,15,5,6,1,5,2,18,12,1,3,0,1,0,4,15,15,361,391,9,4
15526101,2026-05-23,10,Fortaleza,Londrina,3,0,52%,48%,2.38,0.28,17,9,4,2,5,1,14,15,3,4,,,2,1,13,15,460,438,17,10
15526106,2026-05-23,10,Juventude,Sport Recife,0,1,52%,48%,0.95,0.52,16,10,2,2,9,2,19,13,1,4,,,1,2,20,11,361,348,5,6
