match_id,fase,fecha,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
16147470,"Liga 1, Apertura",2026-05-24,Sport Huancayo,Cienciano,2,2,50%,50%,1.22,1.47,19,8,5,4,4,3,13,11,3,0,,,3,3,11,14,398,409,4,4
16147490,"Liga 1, Apertura",2026-05-24,Alianza Atlético de Sullana,FC Cajamarca,1,1,56%,44%,2.18,1.19,24,9,8,2,7,0,11,12,2,2,,,1,7,12,15,386,328,5,6
16147472,"Liga 1, Apertura",2026-05-25,Comerciantes Unidos,Deportivo Garcilaso,0,0,64%,36%,2.20,0.51,26,7,10,1,6,3,12,11,1,3,,,1,9,9,13,394,231,5,11
16153069,"Liga 1, Apertura",2026-05-29,Club Atlético Grau,CD Moquegua,1,0,60%,40%,2.80,1.12,16,8,9,1,4,4,14,11,1,3,0,1,1,8,9,16,382,238,7,7
16153068,"Liga 1, Apertura",2026-05-30,Asociación Deportiva Tarma,Cusco FC,1,2,59%,41%,3.48,0.97,22,7,10,3,12,0,12,9,2,3,,,1,9,11,9,420,310,2,5
16153074,"Liga 1, Apertura",2026-05-30,Deportivo Garcilaso,CD Juan Pablo II,4,1,49%,51%,2.58,1.19,13,10,7,2,0,3,19,5,2,1,0,1,1,2,17,13,339,335,3,8
16153073,"Liga 1, Apertura",2026-05-30,Sport Boys,Comerciantes Unidos,1,0,49%,51%,1.90,0.24,17,15,3,3,8,3,16,23,3,2,,,2,2,20,11,285,308,8,8
16153075,"Liga 1, Apertura",2026-05-31,Universitario de Deportes,Sport Huancayo,2,1,58%,42%,2.49,0.96,16,10,4,5,12,5,9,12,2,1,,,4,2,5,15,413,300,10,5
16153078,"Liga 1, Apertura",2026-05-31,Melgar,Alianza Atlético de Sullana,3,1,60%,40%,2.44,0.16,20,9,7,3,5,1,10,8,1,3,,,3,4,23,11,512,357,7,13
16153415,"Liga 1, Apertura",2026-05-31,FC Cajamarca,Alianza Lima,1,1,42%,58%,0.40,0.41,9,12,2,4,2,1,10,10,,,,,3,1,13,13,307,435,7,7
16153076,"Liga 1, Apertura",2026-05-31,Los Chankas CYC,Universidad Técnica de Cajamarca,2,2,49%,51%,1.04,1.49,15,15,3,5,5,7,14,18,2,2,,,4,1,14,16,342,370,10,12
16153077,"Liga 1, Apertura",2026-05-31,Cienciano,Club Sporting Cristal,3,2,56%,44%,3.30,0.42,25,10,7,3,6,5,8,4,0,2,0,1,2,5,10,9,371,312,8,5
16281111,"Liga 1, Clausura",2026-07-17,FC Cajamarca,CD Juan Pablo II,2,2,55%,45%,1.99,1.26,15,11,5,6,1,4,15,13,5,3,0,2,4,4,14,19,417,340,4,10
15881789,"Liga 1, Apertura",2026-04-22,Comerciantes Unidos,Alianza Atlético de Sullana,1,0,48%,52%,0.54,0.83,9,13,2,1,0,2,13,9,2,0,0,1,2,1,10,7,267,276,13,16
15881788,"Liga 1, Apertura",2026-04-22,Club Atlético Grau,Club Sporting Cristal,4,1,41%,59%,2.03,1.00,21,5,8,2,8,0,15,9,4,3,,,1,4,13,10,271,416,9,8
15881787,"Liga 1, Apertura",2026-04-22,Cusco FC,FC Cajamarca,1,0,68%,32%,1.83,0.51,16,9,5,4,5,2,7,11,1,2,,,4,3,17,9,551,269,14,7
15881794,"Liga 1, Apertura",2026-04-23,Universitario de Deportes,Deportivo Garcilaso,4,1,55%,45%,3.55,1.28,25,9,7,1,10,1,11,9,0,1,,,0,3,11,30,410,356,21,14
15881793,"Liga 1, Apertura",2026-04-23,Los Chankas CYC,Cienciano,1,0,53%,47%,1.73,1.39,13,13,5,4,4,10,10,18,1,3,,,4,4,15,10,289,248,7,13
15929412,"Liga 1, Apertura",2026-04-25,CD Moquegua,FC Cajamarca,2,1,47%,53%,1.25,2.04,17,11,6,3,5,3,13,9,0,1,0,1,2,4,12,10,274,311,10,7
15929229,"Liga 1, Apertura",2026-04-25,Comerciantes Unidos,Club Sporting Cristal,1,0,32%,68%,0.88,1.15,13,20,2,1,3,5,16,8,2,2,,,1,1,17,8,221,473,16,4
15929226,"Liga 1, Apertura",2026-04-26,Sport Boys,CD Juan Pablo II,1,1,49%,51%,1.08,1.52,9,11,4,4,10,3,18,6,6,4,1,1,3,1,8,19,229,252,10,8
15929228,"Liga 1, Apertura",2026-04-26,Universidad Técnica de Cajamarca,Cienciano,2,2,45%,55%,0.88,3.27,11,13,4,7,3,10,17,10,3,1,1,1,5,2,8,17,310,355,12,2
15929227,"Liga 1, Apertura",2026-04-26,Cusco FC,Sport Huancayo,2,1,51%,49%,2.11,0.30,11,13,5,2,3,5,11,7,2,2,,,1,2,11,15,410,390,9,4
15929231,"Liga 1, Apertura",2026-04-26,Club Atlético Grau,Alianza Lima,0,1,34%,66%,0.58,0.90,8,13,2,3,1,4,15,9,1,2,1,0,2,2,18,17,230,465,8,7
15929230,"Liga 1, Apertura",2026-04-26,Universitario de Deportes,Alianza Atlético de Sullana,1,2,62%,38%,2.89,1.11,18,14,1,7,4,1,11,6,1,2,,,4,1,13,18,500,328,7,12
15931822,"Liga 1, Apertura",2026-04-27,Asociación Deportiva Tarma,Los Chankas CYC,4,0,56%,44%,1.90,0.91,15,13,7,4,2,2,16,8,3,1,1,0,4,3,13,6,371,285,9,3
15929225,"Liga 1, Apertura",2026-04-28,Deportivo Garcilaso,Melgar,1,0,43%,57%,1.01,1.46,9,12,2,2,3,2,14,12,3,3,,,2,1,13,13,333,455,13,13
15930122,"Liga 1, Apertura",2026-05-02,FC Cajamarca,Sport Boys,3,2,39%,61%,1.19,2.70,12,21,4,7,2,4,24,12,4,2,,,5,2,9,9,240,365,6,3
15930120,"Liga 1, Apertura",2026-05-02,Asociación Deportiva Tarma,Club Atlético Grau,1,0,56%,44%,2.33,0.93,19,12,9,3,1,6,8,11,,,0,1,3,8,18,11,438,325,9,9
15930121,"Liga 1, Apertura",2026-05-02,Cienciano,Comerciantes Unidos,1,0,65%,35%,0.92,0.26,17,6,3,1,4,2,11,19,4,7,1,0,1,1,11,15,399,218,10,15
15930115,"Liga 1, Apertura",2026-05-03,Alianza Lima,CD Moquegua,2,1,67%,33%,2.11,0.23,16,7,6,2,1,0,12,12,2,2,,,1,4,10,11,524,257,11,12
15930114,"Liga 1, Apertura",2026-05-03,Club Sporting Cristal,Cusco FC,2,2,51%,49%,2.14,1.08,23,9,9,2,7,3,14,8,2,2,,,0,7,20,14,393,396,8,7
15930119,"Liga 1, Apertura",2026-05-03,CD Juan Pablo II,Universitario de Deportes,1,4,36%,64%,0.81,2.42,6,18,1,9,0,9,6,24,3,4,1,0,5,0,7,10,242,408,9,7
15930118,"Liga 1, Apertura",2026-05-03,Alianza Atlético de Sullana,Sport Huancayo,4,1,53%,47%,1.82,0.43,14,10,7,1,4,4,10,9,2,3,0,1,0,3,11,17,410,360,10,1
15930117,"Liga 1, Apertura",2026-05-03,Melgar,Universidad Técnica de Cajamarca,2,0,63%,37%,0.85,0.32,20,7,7,2,11,1,9,11,1,2,,,2,5,12,10,557,330,10,6
15930116,"Liga 1, Apertura",2026-05-04,Los Chankas CYC,Deportivo Garcilaso,0,1,66%,34%,1.31,0.52,16,8,3,3,6,4,11,16,1,4,0,1,2,2,14,15,476,248,5,22
16022827,"Liga 1, Apertura",2026-05-08,Universidad Técnica de Cajamarca,FC Cajamarca,1,2,62%,38%,0.82,2.08,12,9,3,4,8,3,18,16,2,3,,,2,2,13,16,385,246,4,4
16022828,"Liga 1, Apertura",2026-05-09,CD Moquegua,Asociación Deportiva Tarma,2,2,46%,54%,1.62,0.88,11,10,7,4,3,0,11,11,3,5,,,2,5,7,13,281,343,8,10
